analyze_and_understand_data_to_influence_product_or_business_decisions,build_the_data_infrastructure_that_my_business_uses_for_storing_analyzing_and_operationalizing_data,build_prototypes_to_explore_applying_machine_learning_to_new_areas,build_a_machine_learning_service_that_operationally_improves_my_product_or_workflows,experimentation_and_iteration_to_improve_existing_ml_models,do_research_that_advances_the_state_of_the_art_of_machine_learning,none_of_these_activities_are_an_important_part_of_my_role_at_work,what_is_the_primary_tool_that_you_use_at_work_or_school_to_analyze_data,highest_level_of_formal_education,job_title,yearly_compensation,does_your_current_employer_incorporate_machine_learning_methods_into_their_business
NA,NA,NA,NA,NA,NA,NA,"Advanced statistical software (SPSS, SAS, etc.)",Professional degree,Data Scientist,"15,000-19,999",I do not know
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,Other,Doctoral degree,Data Scientist,"1,000-1,999","We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Engineer,NA,NA
NA,NA,NA,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,NA,Master’s degree,Product/Project Manager,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Scientist,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Data Scientist,"60,000-69,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Data Analyst,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Product/Project Manager,"150,000-199,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Business Analyst,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,No formal education past high school,Data Analyst,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,$0-999,No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Business Analyst,"2,000-2,999",I do not know
NA,NA,NA,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Professional degree,Software Engineer,"> $500,000",We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,Other,Bachelor’s degree,Data Engineer,"10,000-14,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,"7,500-9,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"25,000-29,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,None of these activities are an important part of my role at work,NA,Master’s degree,Software Engineer,"125,000-149,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,$0-999,I do not know
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Product/Project Manager,"30,000-39,999",We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Data Scientist,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"1,000-1,999",No (we do not use ML methods)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,NA,NA,NA,Master’s degree,Business Analyst,NA,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Analyst,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Research Scientist,NA,NA
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Data Scientist,"5,000-7,499","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Research Scientist,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,NA,Bachelor’s degree,Product/Project Manager,"15,000-19,999",We use ML methods for generating insights (but do not put working models into production)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"20,000-24,999","We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Business Analyst,"40,000-49,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Data Scientist,"3,000-3,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Data Scientist,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,"10,000-14,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,NA,No (we do not use ML methods)
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,NA,Bachelor’s degree,Research Scientist,"100,000-124,999","We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,None of these activities are an important part of my role at work,Other,Master’s degree,Software Engineer,"20,000-24,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,"100,000-124,999",No (we do not use ML methods)
NA,NA,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"70,000-79,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"10,000-14,999",We use ML methods for generating insights (but do not put working models into production)
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,NA,NA,NA,Doctoral degree,Data Scientist,NA,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,NA,NA,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Bachelor’s degree,Data Scientist,"100,000-124,999","We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,NA,NA,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"40,000-49,999","We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Analyst,"3,000-3,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,NA,NA
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,NA,I prefer not to answer,Research Scientist,NA,We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Analyst,NA,No (we do not use ML methods)
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,"Advanced statistical software (SPSS, SAS, etc.)",Doctoral degree,Research Scientist,"60,000-69,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Data Scientist,"1,000-1,999","We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"60,000-69,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,None of these activities are an important part of my role at work,NA,Bachelor’s degree,Software Engineer,NA,We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,"100,000-124,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,Do research that advances the state of the art of machine learning,NA,NA,Bachelor’s degree,Research Scientist,$0-999,We use ML methods for generating insights (but do not put working models into production)
NA,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,NA,NA,NA,NA,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Data Scientist,"5,000-7,499",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Product/Project Manager,$0-999,No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Data Scientist,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Research Scientist,NA,We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Data Scientist,$0-999,We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,NA,NA
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,Other,Doctoral degree,Research Scientist,"30,000-39,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Scientist,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Analyst,"3,000-3,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Research Scientist,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Data Analyst,NA,We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,Do research that advances the state of the art of machine learning,NA,NA,Master’s degree,Research Scientist,$0-999,"We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"10,000-14,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,NA,NA,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"200,000-249,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Product/Project Manager,"40,000-49,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,NA,Bachelor’s degree,Data Scientist,"125,000-149,999",We use ML methods for generating insights (but do not put working models into production)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,NA,Master’s degree,Software Engineer,"200,000-249,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Data Scientist,NA,We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,None of these activities are an important part of my role at work,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Doctoral degree,Software Engineer,"25,000-29,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Business Analyst,"25,000-29,999",I do not know
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"10,000-14,999",I do not know
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Scientist,NA,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,NA,Doctoral degree,Software Engineer,"40,000-49,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,Do research that advances the state of the art of machine learning,NA,NA,Doctoral degree,Research Scientist,"10,000-14,999","We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,NA,NA,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,$0-999,We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Software Engineer,$0-999,No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Data Scientist,NA,"We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Data Scientist,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,None of these activities are an important part of my role at work,NA,Bachelor’s degree,Software Engineer,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Product/Project Manager,NA,NA
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Data Analyst,"1,000-1,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,Other,Doctoral degree,Data Scientist,"30,000-39,999","We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,Do research that advances the state of the art of machine learning,NA,NA,Doctoral degree,Data Scientist,"60,000-69,999","We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Data Scientist,"70,000-79,999",I do not know
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Research Scientist,"70,000-79,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,Do research that advances the state of the art of machine learning,NA,NA,Professional degree,Research Scientist,"7,500-9,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,NA,Do research that advances the state of the art of machine learning,NA,NA,Doctoral degree,Data Scientist,NA,We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Analyst,NA,"We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Analyst,$0-999,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,NA,Master’s degree,Product/Project Manager,"20,000-24,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,"60,000-69,999","We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Scientist,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,"80,000-89,999",No (we do not use ML methods)
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,"15,000-19,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,Experimentation and iteration to improve existing ML models,NA,NA,NA,Master’s degree,Data Scientist,"20,000-24,999","We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,NA,I do not know
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,NA,We are exploring ML methods (and may one day put a model into production)
NA,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,"25,000-29,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,NA,Master’s degree,Data Engineer,"60,000-69,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,NA,Professional degree,Software Engineer,NA,"We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,$0-999,No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,NA,NA
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,"Advanced statistical software (SPSS, SAS, etc.)",Bachelor’s degree,Business Analyst,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"3,000-3,999",We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Scientist,NA,"We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Data Analyst,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,I prefer not to answer,Software Engineer,NA,"We have well established ML methods (i.e., models in production for more than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,NA,NA,NA,NA,NA,Master’s degree,Product/Project Manager,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Master’s degree,Product/Project Manager,"100,000-124,999",We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,NA,We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Data Analyst,"4,000-4,999",We use ML methods for generating insights (but do not put working models into production)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Analyst,$0-999,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Research Scientist,NA,NA
Analyze and understand data to influence product or business decisions,NA,NA,NA,Experimentation and iteration to improve existing ML models,NA,NA,Other,Professional degree,Business Analyst,$0-999,We are exploring ML methods (and may one day put a model into production)
NA,NA,NA,NA,NA,NA,NA,NA,No formal education past high school,Product/Project Manager,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,$0-999,I do not know
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Scientist,NA,NA
NA,NA,NA,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"80,000-89,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Data Engineer,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"60,000-69,999",No (we do not use ML methods)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"100,000-124,999",We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Data Analyst,"5,000-7,499",I do not know
NA,NA,NA,NA,NA,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Software Engineer,"3,000-3,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,I prefer not to answer,Business Analyst,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Scientist,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Research Scientist,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"40,000-49,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Research Scientist,NA,NA
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"25,000-29,999",We are exploring ML methods (and may one day put a model into production)
NA,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Data Analyst,"5,000-7,499",We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Analyst,NA,We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Research Scientist,"2,000-2,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,NA,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Analyst,"15,000-19,999",We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,Research Scientist,NA,NA
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Data Analyst,"5,000-7,499",We use ML methods for generating insights (but do not put working models into production)
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Research Scientist,"5,000-7,499",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"20,000-24,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,None of these activities are an important part of my role at work,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"15,000-19,999",We use ML methods for generating insights (but do not put working models into production)
NA,NA,NA,NA,NA,NA,NA,NA,Bachelor’s degree,Software Engineer,NA,NA
NA,NA,NA,NA,NA,Do research that advances the state of the art of machine learning,NA,NA,Bachelor’s degree,Data Analyst,"1,000-1,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,NA,Master’s degree,Data Scientist,NA,I do not know
NA,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,NA,Master’s degree,Software Engineer,"50,000-59,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"1,000-1,999",We use ML methods for generating insights (but do not put working models into production)
